repo_key,repo_url,true_label,true_label_normalized,method,top1_hit,top3_hit,top5_hit,pred_top1_category,pred_categories_top5,similarities_top5,effective_scores_top5,positions_top5,detected_domains,domain_boost,ai_pred_label,ai_top_probs,ai_alpha
hojunnnnn/board,https://github.com/hojunnnnn/board,서버/백엔드,서버/백엔드,faiss_only,0,1,1,웹 풀스택,웹 풀스택 | 프론트엔드 | 서버/백엔드 | 서버/백엔드 | 서버/백엔드,0.8416 | 0.8394 | 0.8384 | 0.8368 | 0.8324,0.8416 | 0.8394 | 0.8384 | 0.8368 | 0.8324,풀스택 (Full-stack) 개발자 | [Tech] 웹 프론트엔드 개발자 | 백엔드 개발자 | 웹 서비스 자바 개발자 | 서버 개발자,,,,,
hojunnnnn/board,https://github.com/hojunnnnn/board,서버/백엔드,서버/백엔드,domain_rerank,0,1,1,프론트엔드,프론트엔드 | 서버/백엔드 | 서버/백엔드 | 서버/백엔드 | 웹 풀스택,0.8394 | 0.8384 | 0.8368 | 0.8324 | 0.8416,0.8894 | 0.8884 | 0.8868 | 0.8824 | 0.8416,[Tech] 웹 프론트엔드 개발자 | 백엔드 개발자 | 웹 서비스 자바 개발자 | 서버 개발자 | 풀스택 (Full-stack) 개발자,웹 프론트엔드 | 서버/백엔드,0.05,,,
hojunnnnn/board,https://github.com/hojunnnnn/board,서버/백엔드,서버/백엔드,ai_classifier_rerank,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | 서버/백엔드 | 웹 풀스택 | 프론트엔드,0.8384 | 0.8368 | 0.8324 | 0.8416 | 0.8394,0.8799 | 0.8783 | 0.8739 | 0.8416 | 0.8414,백엔드 개발자 | 웹 서비스 자바 개발자 | 서버 개발자 | 풀스택 (Full-stack) 개발자 | [Tech] 웹 프론트엔드 개발자,,,서버/백엔드,서버/백엔드:0.8300 | 모바일 앱:0.0533 | 프론트엔드:0.0400 | 블록체인:0.0367 | 빅데이터 엔지니어:0.0200,0.05
HSU-README/ReadMeBackend,https://github.com/HSU-README/ReadMeBackend,서버/백엔드,서버/백엔드,faiss_only,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | devops/시스템 엔지니어 | 웹 풀스택 | 프론트엔드,0.7885 | 0.7810 | 0.7649 | 0.7629 | 0.7575,0.7885 | 0.7810 | 0.7649 | 0.7629 | 0.7575,Spring 백엔드 개발 (0~3년) | 백엔드 개발자 | 로봇 관제 시스템 백엔드 개발자 | 풀스택 (Full-stack) 개발자 | [Tech] 웹 프론트엔드 개발자,,,,,
HSU-README/ReadMeBackend,https://github.com/HSU-README/ReadMeBackend,서버/백엔드,서버/백엔드,domain_rerank,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | 프론트엔드 | devops/시스템 엔지니어 | 웹 풀스택,0.7885 | 0.7810 | 0.7575 | 0.7649 | 0.7629,0.8385 | 0.8310 | 0.8075 | 0.7649 | 0.7629,Spring 백엔드 개발 (0~3년) | 백엔드 개발자 | [Tech] 웹 프론트엔드 개발자 | 로봇 관제 시스템 백엔드 개발자 | 풀스택 (Full-stack) 개발자,웹 프론트엔드 | 서버/백엔드,0.05,,,
HSU-README/ReadMeBackend,https://github.com/HSU-README/ReadMeBackend,서버/백엔드,서버/백엔드,ai_classifier_rerank,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | devops/시스템 엔지니어 | 프론트엔드 | 웹 풀스택,0.7885 | 0.7810 | 0.7649 | 0.7575 | 0.7629,0.7913 | 0.7839 | 0.7691 | 0.7660 | 0.7629,Spring 백엔드 개발 (0~3년) | 백엔드 개발자 | 로봇 관제 시스템 백엔드 개발자 | [Tech] 웹 프론트엔드 개발자 | 풀스택 (Full-stack) 개발자,,,인공지능/머신러닝,인공지능/머신러닝:0.2500 | 프론트엔드:0.1700 | 블록체인:0.1667 | 게임 개발:0.1233 | 모바일 앱:0.1100,0.05
spaniac/Portfolio_Manager_Web,https://github.com/spaniac/Portfolio_Manager_Web,서버/백엔드,서버/백엔드,faiss_only,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | SW/솔루션 | 서버/백엔드 | SW/솔루션,0.7912 | 0.7814 | 0.7757 | 0.7732 | 0.7709,0.7912 | 0.7814 | 0.7757 | 0.7732 | 0.7709,[Kotlin/SpringBoot] 백엔드 개발자 | 경력 개발자(백엔드) 채용 | S/W 개발 (사원 ~ 선임) | 백엔드 개발자 | L4-L7 스위치 가상화 솔루션 개발 경력,,,,,
spaniac/Portfolio_Manager_Web,https://github.com/spaniac/Portfolio_Manager_Web,서버/백엔드,서버/백엔드,domain_rerank,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | SW/솔루션 | 서버/백엔드 | SW/솔루션,0.7912 | 0.7814 | 0.7757 | 0.7732 | 0.7709,0.7912 | 0.7814 | 0.7757 | 0.7732 | 0.7709,[Kotlin/SpringBoot] 백엔드 개발자 | 경력 개발자(백엔드) 채용 | S/W 개발 (사원 ~ 선임) | 백엔드 개발자 | L4-L7 스위치 가상화 솔루션 개발 경력,,0.05,,,
spaniac/Portfolio_Manager_Web,https://github.com/spaniac/Portfolio_Manager_Web,서버/백엔드,서버/백엔드,ai_classifier_rerank,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | 서버/백엔드 | SW/솔루션 | SW/솔루션,0.7912 | 0.7814 | 0.7732 | 0.7757 | 0.7709,0.7937 | 0.7839 | 0.7757 | 0.7757 | 0.7709,[Kotlin/SpringBoot] 백엔드 개발자 | 경력 개발자(백엔드) 채용 | 백엔드 개발자 | S/W 개발 (사원 ~ 선임) | L4-L7 스위치 가상화 솔루션 개발 경력,,,DevOps/시스템 엔지니어,DevOps/시스템 엔지니어:0.3267 | 블록체인:0.2967 | 빅데이터 엔지니어:0.1333 | 인공지능/머신러닝:0.0733 | 프론트엔드:0.0533,0.05
YooGyeongMo/CollaB,https://github.com/YooGyeongMo/CollaB,서버/백엔드,서버/백엔드,faiss_only,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | 웹 풀스택 | 웹 풀스택 | 프론트엔드,0.7267 | 0.7093 | 0.7089 | 0.7082 | 0.7056,0.7267 | 0.7093 | 0.7089 | 0.7082 | 0.7056,경력 개발자(백엔드) 채용 | 서버 개발자 | 풀스택 (Full-stack) 개발자 | 프론트·백엔드 개발자 채용 | [Tech] 웹 프론트엔드 개발자,,,,,
