repo_key,repo_url,true_label,true_label_normalized,method,top1_hit,top3_hit,top5_hit,pred_top1_category,pred_categories_top5,similarities_top5,effective_scores_top5,positions_top5,detected_domains,domain_boost,ai_pred_label,ai_top_probs,ai_alpha
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,서버/백엔드,서버/백엔드,faiss_only,0,1,1,SW/솔루션,SW/솔루션 | 서버/백엔드 | SW/솔루션 | SW/솔루션 | devops/시스템 엔지니어,0.8515 | 0.8371 | 0.8341 | 0.8229 | 0.8227,0.8515 | 0.8371 | 0.8341 | 0.8229 | 0.8227,L4-L7 스위치 가상화 솔루션 개발 경력 | 경력 개발자(백엔드) 채용 | GitLab 솔루션 엔지니어 | WEBFRONT-K GUI 개발 | [DC파트] 인프라 엔지니어 시스템 운영자,,,,,
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,서버/백엔드,서버/백엔드,domain_rerank,1,1,1,서버/백엔드,서버/백엔드 | devops/시스템 엔지니어 | SW/솔루션 | SW/솔루션 | SW/솔루션,0.8371 | 0.8227 | 0.8515 | 0.8341 | 0.8229,0.8871 | 0.8727 | 0.8515 | 0.8341 | 0.8229,경력 개발자(백엔드) 채용 | [DC파트] 인프라 엔지니어 시스템 운영자 | L4-L7 스위치 가상화 솔루션 개발 경력 | GitLab 솔루션 엔지니어 | WEBFRONT-K GUI 개발,게임 개발 | 웹 프론트엔드 | 서버/백엔드 | ML/AI | DevOps/인프라 | 블록체인 | 빅데이터 엔지니어 | 모바일 앱,0.05,,,
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,서버/백엔드,서버/백엔드,ai_classifier_rerank,1,1,1,서버/백엔드,서버/백엔드 | SW/솔루션 | devops/시스템 엔지니어 | SW/솔루션 | SW/솔루션,0.8371 | 0.8515 | 0.8227 | 0.8341 | 0.8229,0.8564 | 0.8515 | 0.8407 | 0.8341 | 0.8229,경력 개발자(백엔드) 채용 | L4-L7 스위치 가상화 솔루션 개발 경력 | [DC파트] 인프라 엔지니어 시스템 운영자 | GitLab 솔루션 엔지니어 | WEBFRONT-K GUI 개발,,,서버/백엔드,서버/백엔드:0.1933 | DevOps/시스템 엔지니어:0.1800 | 게임 개발:0.1633 | 프론트엔드:0.1633 | 빅데이터 엔지니어:0.1000,0.1
nestjs/nest,https://github.com/nestjs/nest,서버/백엔드,서버/백엔드,faiss_only,0,1,1,SW/솔루션,SW/솔루션 | 서버/백엔드 | 프론트엔드 | 서버/백엔드 | 서버/백엔드,0.8551 | 0.8317 | 0.8306 | 0.8268 | 0.8230,0.8551 | 0.8317 | 0.8306 | 0.8268 | 0.8230,L4-L7 스위치 가상화 솔루션 개발 경력 | 백엔드 개발자 | 프론트엔드 개발자 | Endpoint연구실 [Server 개발자] | 경력 개발자(백엔드) 채용,,,,,
nestjs/nest,https://github.com/nestjs/nest,서버/백엔드,서버/백엔드,domain_rerank,1,1,1,서버/백엔드,서버/백엔드 | 프론트엔드 | 서버/백엔드 | 서버/백엔드 | SW/솔루션,0.8317 | 0.8306 | 0.8268 | 0.8230 | 0.8551,0.8817 | 0.8806 | 0.8768 | 0.8730 | 0.8551,백엔드 개발자 | 프론트엔드 개발자 | Endpoint연구실 [Server 개발자] | 경력 개발자(백엔드) 채용 | L4-L7 스위치 가상화 솔루션 개발 경력,게임 개발 | 웹 프론트엔드 | 서버/백엔드 | ML/AI | 빅데이터 엔지니어 | 모바일 앱,0.05,,,
nestjs/nest,https://github.com/nestjs/nest,서버/백엔드,서버/백엔드,ai_classifier_rerank,0,1,1,프론트엔드,프론트엔드 | SW/솔루션 | 서버/백엔드 | 서버/백엔드 | 서버/백엔드,0.8306 | 0.8551 | 0.8317 | 0.8268 | 0.8230,0.8622 | 0.8551 | 0.8424 | 0.8374 | 0.8336,프론트엔드 개발자 | L4-L7 스위치 가상화 솔루션 개발 경력 | 백엔드 개발자 | Endpoint연구실 [Server 개발자] | 경력 개발자(백엔드) 채용,,,프론트엔드,프론트엔드:0.3167 | DevOps/시스템 엔지니어:0.1667 | 블록체인:0.1667 | 빅데이터 엔지니어:0.1200 | 서버/백엔드:0.1067,0.1
fastapi/fastapi,https://github.com/fastapi/fastapi,서버/백엔드,서버/백엔드,faiss_only,0,0,0,SW/솔루션,SW/솔루션 | 프론트엔드 | SW/솔루션 | SW/솔루션 | SW/솔루션,0.8430 | 0.8278 | 0.8262 | 0.8250 | 0.8238,0.8430 | 0.8278 | 0.8262 | 0.8250 | 0.8238,L4-L7 스위치 가상화 솔루션 개발 경력 | 프론트엔드 개발자 | AI솔루션 AI엔지니어(4~6년) | AI개발자 모집 | GitLab 솔루션 엔지니어,,,,,
fastapi/fastapi,https://github.com/fastapi/fastapi,서버/백엔드,서버/백엔드,domain_rerank,0,0,0,프론트엔드,프론트엔드 | SW/솔루션 | SW/솔루션 | SW/솔루션 | SW/솔루션,0.8278 | 0.8430 | 0.8262 | 0.8250 | 0.8238,0.8778 | 0.8430 | 0.8262 | 0.8250 | 0.8238,프론트엔드 개발자 | L4-L7 스위치 가상화 솔루션 개발 경력 | AI솔루션 AI엔지니어(4~6년) | AI개발자 모집 | GitLab 솔루션 엔지니어,게임 개발 | 웹 프론트엔드 | 서버/백엔드 | 도구 개발 | ML/AI | 모바일 앱 | DevOps/인프라,0.05,,,
fastapi/fastapi,https://github.com/fastapi/fastapi,서버/백엔드,서버/백엔드,ai_classifier_rerank,0,0,0,프론트엔드,프론트엔드 | SW/솔루션 | SW/솔루션 | SW/솔루션 | SW/솔루션,0.8278 | 0.8430 | 0.8262 | 0.8250 | 0.8238,0.8525 | 0.8430 | 0.8262 | 0.8250 | 0.8238,프론트엔드 개발자 | L4-L7 스위치 가상화 솔루션 개발 경력 | AI솔루션 AI엔지니어(4~6년) | AI개발자 모집 | GitLab 솔루션 엔지니어,,,프론트엔드,프론트엔드:0.2467 | 서버/백엔드:0.1900 | DevOps/시스템 엔지니어:0.1767 | 빅데이터 엔지니어:0.1367 | 블록체인:0.1133,0.1
expressjs/express,https://github.com/expressjs/express,서버/백엔드,서버/백엔드,faiss_only,0,0,0,SW/솔루션,SW/솔루션 | SW/솔루션 | SW/솔루션 | devops/시스템 엔지니어 | devops/시스템 엔지니어,0.8357 | 0.8031 | 0.8017 | 0.7946 | 0.7833,0.8357 | 0.8031 | 0.8017 | 0.7946 | 0.7833,GitLab 솔루션 엔지니어 | L4-L7 스위치 가상화 솔루션 개발 경력 | 이리온 C++ 어플리케이션 개발자(서울) | SRE/DevOps Engineer | DevOps(K8s 기반) CI/CD 개발 엔지니어,,,,,
