repo_key,repo_url,true_label,true_label_normalized,method,top1_hit,top3_hit,top5_hit,pred_top1_category,pred_categories_top5,similarities_top5,effective_scores_top5,positions_top5,detected_domains,domain_boost,ai_pred_label,ai_top_probs,ai_alpha
tekyung/Ttakji_lab-mobile_development_dep,https://github.com/tekyung/Ttakji_lab-mobile_development_dep,게임 개발,게임 개발,faiss_only,1,1,1,게임 클라이언트,게임 클라이언트 | 서버/백엔드 | 프론트엔드 | 프론트엔드 | SW/솔루션,0.6024 | 0.5884 | 0.5865 | 0.5844 | 0.5828,0.6024 | 0.5884 | 0.5865 | 0.5844 | 0.5828,"게임 개발자(1~3년) | LOST ARK Mobile 서버개발 담당 | 프론트엔드 개발자_1~4년 | 프론트 개발 3-5년차 | c#, db 관련 개발자",,,,,
tekyung/Ttakji_lab-mobile_development_dep,https://github.com/tekyung/Ttakji_lab-mobile_development_dep,게임 개발,게임 개발,domain_rerank,1,1,1,게임 클라이언트,게임 클라이언트 | 서버/백엔드 | 프론트엔드 | 프론트엔드 | SW/솔루션,0.6024 | 0.5884 | 0.5865 | 0.5844 | 0.5828,0.6524 | 0.5884 | 0.5865 | 0.5844 | 0.5828,"게임 개발자(1~3년) | LOST ARK Mobile 서버개발 담당 | 프론트엔드 개발자_1~4년 | 프론트 개발 3-5년차 | c#, db 관련 개발자",게임 개발 | 모바일 앱,0.05,,,
tekyung/Ttakji_lab-mobile_development_dep,https://github.com/tekyung/Ttakji_lab-mobile_development_dep,게임 개발,게임 개발,ai_classifier_rerank,1,1,1,게임 클라이언트,게임 클라이언트 | 프론트엔드 | 프론트엔드 | 서버/백엔드 | SW/솔루션,0.6024 | 0.5865 | 0.5844 | 0.5884 | 0.5828,0.6754 | 0.5932 | 0.5911 | 0.5894 | 0.5828,"게임 개발자(1~3년) | 프론트엔드 개발자_1~4년 | 프론트 개발 3-5년차 | LOST ARK Mobile 서버개발 담당 | c#, db 관련 개발자",,,게임 개발,게임 개발:0.7300 | 인공지능/머신러닝:0.0800 | 프론트엔드:0.0667 | DevOps/시스템 엔지니어:0.0567 | 모바일 앱:0.0367,0.1
tekyung/kyonggi-university_network-system-laboratory_webpage,https://github.com/tekyung/kyonggi-university_network-system-laboratory_webpage,프론트엔드,프론트엔드,faiss_only,0,1,1,웹 풀스택,웹 풀스택 | 프론트엔드 | 프론트엔드 | 웹 풀스택 | 서버/백엔드,0.8387 | 0.8287 | 0.8204 | 0.8200 | 0.8188,0.8387 | 0.8287 | 0.8204 | 0.8200 | 0.8188,웹개발자 | [Tech] 웹 프론트엔드 개발자 | 프론트엔드 개발자 | 풀스택 (Full-stack) 개발자 | [자리톡] Java 백엔드 개발자,,,,,
tekyung/kyonggi-university_network-system-laboratory_webpage,https://github.com/tekyung/kyonggi-university_network-system-laboratory_webpage,프론트엔드,프론트엔드,domain_rerank,1,1,1,프론트엔드,프론트엔드 | 프론트엔드 | 서버/백엔드 | 웹 풀스택 | 웹 풀스택,0.8287 | 0.8204 | 0.8188 | 0.8387 | 0.8200,0.8787 | 0.8704 | 0.8688 | 0.8387 | 0.8200,[Tech] 웹 프론트엔드 개발자 | 프론트엔드 개발자 | [자리톡] Java 백엔드 개발자 | 웹개발자 | 풀스택 (Full-stack) 개발자,웹 프론트엔드 | 서버/백엔드 | ML/AI | 모바일 앱,0.05,,,
tekyung/kyonggi-university_network-system-laboratory_webpage,https://github.com/tekyung/kyonggi-university_network-system-laboratory_webpage,프론트엔드,프론트엔드,ai_classifier_rerank,1,1,1,프론트엔드,프론트엔드 | 프론트엔드 | 웹 풀스택 | 서버/백엔드 | 웹 풀스택,0.8287 | 0.8204 | 0.8387 | 0.8188 | 0.8200,0.8761 | 0.8677 | 0.8387 | 0.8325 | 0.8200,[Tech] 웹 프론트엔드 개발자 | 프론트엔드 개발자 | 웹개발자 | [자리톡] Java 백엔드 개발자 | 풀스택 (Full-stack) 개발자,,,프론트엔드,프론트엔드:0.4733 | 서버/백엔드:0.1367 | 블록체인:0.1267 | DevOps/시스템 엔지니어:0.0967 | 빅데이터 엔지니어:0.0933,0.1
siheon012/Deepsentinel,https://github.com/siheon012/Deepsentinel,인공지능/머신러닝,인공지능/머신러닝,faiss_only,0,0,0,웹 풀스택,웹 풀스택 | 프론트엔드 | 프론트엔드 | 프론트엔드 | 서버/백엔드,0.8336 | 0.8307 | 0.8290 | 0.8245 | 0.8211,0.8336 | 0.8307 | 0.8290 | 0.8245 | 0.8211,프론트·백엔드 개발자 채용 | 프론트엔드 개발자_1~4년 | 프론트엔드 개발자 | 드로잉툴(Front-end) 개발 경력 5년이상 | 경력 개발자(백엔드) 채용,,,,,
siheon012/Deepsentinel,https://github.com/siheon012/Deepsentinel,인공지능/머신러닝,인공지능/머신러닝,domain_rerank,0,0,0,프론트엔드,프론트엔드 | 프론트엔드 | 프론트엔드 | 서버/백엔드 | 웹 풀스택,0.8307 | 0.8290 | 0.8245 | 0.8211 | 0.8336,0.8807 | 0.8790 | 0.8745 | 0.8711 | 0.8336,프론트엔드 개발자_1~4년 | 프론트엔드 개발자 | 드로잉툴(Front-end) 개발 경력 5년이상 | 경력 개발자(백엔드) 채용 | 프론트·백엔드 개발자 채용,웹 프론트엔드 | 서버/백엔드 | ML/AI | DevOps/인프라 | 빅데이터 엔지니어 | 게임 개발 | 모바일 앱,0.05,,,
siheon012/Deepsentinel,https://github.com/siheon012/Deepsentinel,인공지능/머신러닝,인공지능/머신러닝,ai_classifier_rerank,0,0,0,프론트엔드,프론트엔드 | 프론트엔드 | 프론트엔드 | 서버/백엔드 | 웹 풀스택,0.8307 | 0.8290 | 0.8245 | 0.8211 | 0.8336,0.8501 | 0.8484 | 0.8438 | 0.8414 | 0.8336,프론트엔드 개발자_1~4년 | 프론트엔드 개발자 | 드로잉툴(Front-end) 개발 경력 5년이상 | 경력 개발자(백엔드) 채용 | 프론트·백엔드 개발자 채용,,,DevOps/시스템 엔지니어,DevOps/시스템 엔지니어:0.2867 | 서버/백엔드:0.2033 | 프론트엔드:0.1933 | 블록체인:0.1100 | 인공지능/머신러닝:0.0967,0.1
Virtual-Company-Mal-Geum/ai-server,https://github.com/Virtual-Company-Mal-Geum/ai-server,인공지능/머신러닝,인공지능/머신러닝,faiss_only,0,0,0,서버/백엔드,서버/백엔드 | 서버/백엔드 | 서버/백엔드 | SW/솔루션 | devops/시스템 엔지니어,0.5323 | 0.5255 | 0.5214 | 0.5185 | 0.5122,0.5323 | 0.5255 | 0.5214 | 0.5185 | 0.5122,백엔드 개발자 | 백엔드 경력 채용 (2~5년) | 백엔드 개발자 2년 이상 | 보안 취약점 분석 담당(6년↑) | 카카오/네이버 연계시스템 서버 개발자,,,,,
