dataset,model,method,n,top1_pct,top3_pct,top5_pct
eval_v2,base,faiss_only,29,44.8,65.5,75.9
eval_v2,base,domain_rerank,29,62.1,69.0,75.9
eval_v2,base,ai_classifier_rerank,29,75.9,75.9,75.9
eval_v2,gpt_model,faiss_only,29,44.8,65.5,75.9
eval_v2,gpt_model,domain_rerank,29,62.1,69.0,75.9
eval_v2,gpt_model,ai_classifier_rerank,29,44.8,69.0,75.9
comments_refined,base,faiss_only,13,53.8,76.9,76.9
comments_refined,base,domain_rerank,13,76.9,76.9,76.9
comments_refined,base,ai_classifier_rerank,13,61.5,76.9,76.9
gpt_domain,base,faiss_only,150,1.3,8.7,13.3
gpt_domain,base,domain_rerank,150,10.7,13.3,13.3
gpt_domain,base,ai_classifier_rerank,150,7.3,12.0,13.3
gpt_domain,gpt_model,faiss_only,150,1.3,8.7,13.3
gpt_domain,gpt_model,domain_rerank,150,10.7,13.3,13.3
gpt_domain,gpt_model,ai_classifier_rerank,150,10.7,12.7,13.3
