repo_key,repo_url,python_ratio,java_ratio,javascript_ratio,typescript_ratio,kotlin_ratio,dart_ratio,swift_ratio,csharp_ratio,cpp_ratio,html_ratio,css_ratio,go_ratio,php_ratio,ruby_ratio,solidity_ratio,has_spring,has_fastapi,has_django,has_flask,has_express,has_nestjs,has_react,has_nextjs,has_vue,has_flutter,has_react_native,has_unity,has_unreal,has_pytorch,has_tensorflow,has_yolo,has_opencv,has_streamlit,has_docker,has_kubernetes,has_aws,has_terraform,has_github_actions,has_jenkins,has_solidity,kw_backend,kw_api,kw_database,kw_auth,kw_orm,kw_frontend,kw_ui,kw_seo,kw_ai,kw_model,kw_cv,kw_data,kw_devops,kw_container,kw_cloud,kw_monitoring,kw_mobile,kw_flutter,kw_kotlin,kw_swift,kw_game,kw_blockchain,profile_text_len,profile_token_count,profile_keyword_count,github_score,total_valid_loc,total_evidence_loc,total_commits_analyzed,has_tests,has_cicd,has_deployment,readme_has_image,test_ratio,source_file_count,avg_loc_per_file,readme_len,label
MoathShraim/Nodejs-rest-api-project-structure-Express,https://github.com/MoathShraim/Nodejs-rest-api-project-structure-Express,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,97,16,4,26.5,496.0,865.0,10.0,0,0,0,0,0.0,12.0,41.3,1469,서버/백엔드
Alexandrbig1/rest-api-goit-NodeJS,https://github.com/Alexandrbig1/rest-api-goit-NodeJS,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,16,4,31.3,1543.0,11817.0,75.0,0,0,0,1,0.03125,32.0,48.2,1500,서버/백엔드
Sourabhshintre/Spring-Boot---Employee-REST-API,https://github.com/Sourabhshintre/Spring-Boot---Employee-REST-API,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,146,28,5,54.6,3423.0,78.0,6.0,0,1,1,0,0.03333333333333333,30.0,114.1,1500,서버/백엔드
Aeternalis-Ingenium/FastAPI-Backend-Template,https://github.com/Aeternalis-Ingenium/FastAPI-Backend-Template,0.7599024984765387,0.0,0.010968921389396709,0.03290676416819013,0.0,0.0,0.0,0.0,0.0,0.026203534430225474,0.17001828153564896,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,163,32,7,81.5,2847.0,18799.0,53.0,1,1,1,0,0.0958904109589041,73.0,39.0,1500,서버/백엔드
osopromadze/Spring-Boot-Blog-REST-API,https://github.com/osopromadze/Spring-Boot-Blog-REST-API,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,138,27,7,77.3,9522.0,1860.0,75.0,0,1,1,1,0.010309278350515464,97.0,98.2,1500,서버/백엔드
Sahilmd01/React-Portfolio,https://github.com/Sahilmd01/React-Portfolio,0.0,0.0,0.31477927063339733,0.0,0.0,0.0,0.0,0.0,0.0,0.3666026871401151,0.31861804222648754,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,22,3,66.4,5469.0,6310.0,39.0,1,0,1,1,0.05555555555555555,72.0,76.0,1500,프론트엔드
guillaumebriday/todolist-frontend-vuejs,https://github.com/guillaumebriday/todolist-frontend-vuejs,0.0,0.0,0.9876208897485493,0.0,0.0,0.0,0.0,0.0,0.0,0.012379110251450675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,134,26,5,78.7,3342.0,27864.0,75.0,0,1,1,1,0.041666666666666664,72.0,46.4,1500,프론트엔드
Wassim-Rached/Project-Angular-2023-frontend,https://github.com/Wassim-Rached/Project-Angular-2023-frontend,0.0,0.0,0.0,0.39983443708609273,0.0,0.0,0.0,0.0,0.0,0.5772626931567328,0.022902869757174392,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10,2,71.8,3749.0,48486.0,75.0,0,0,0,0,0.0,147.0,25.5,1500,프론트엔드
motasimfoad/Portfolio-2020,https://github.com/motasimfoad/Portfolio-2020,0.0,0.0,0.6544715447154471,0.0,0.0,0.0,0.0,0.0,0.0,0.03929539295392954,0.3062330623306233,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,12,1,69.4,1542.0,14811.0,75.0,0,0,0,0,0.01694915254237288,59.0,26.1,1500,프론트엔드
solygambas/next-projects,https://github.com/solygambas/next-projects,0.0,0.0,0.5816363308704271,0.08974590016219139,0.0,0.0,0.0,0.0,0.0,0.0,0.3286177689673815,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111,21,5,67.3,14819.0,43562.0,75.0,0,0,1,0,0.0,579.0,25.6,1500,프론트엔드
MYoussef885/Diabetes_Prediction,https://github.com/MYoussef885/Diabetes_Prediction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,65,8,4,40.5,1675.0,814.0,4.0,0,0,0,0,0.0,1.0,1675.0,1500,인공지능/머신러닝
ankan1811/Object-Detection-By-Ankan,https://github.com/ankan1811/Object-Detection-By-Ankan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,63,11,2,46.3,3000.0,283.0,44.0,0,0,0,1,0.0,16.0,187.5,1500,인공지능/머신러닝
adeshpande3/LSTM-Sentiment-Analysis,https://github.com/adeshpande3/LSTM-Sentiment-Analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,66,12,3,52.6,1333.0,113.0,17.0,0,1,0,0,0.0,25.0,53.3,1500,인공지능/머신러닝
OlivetKMC/Credit-card-Fraud-Detection-2023,https://github.com/OlivetKMC/Credit-card-Fraud-Detection-2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,59,8,4,29.9,1017.0,45.0,4.0,0,0,0,0,0.0,2.0,508.5,1500,인공지능/머신러닝
billy-enrizky/TensorFlow-Image-Classification,https://github.com/billy-enrizky/TensorFlow-Image-Classification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,83,12,3,54.9,19489.0,91.0,3.0,0,0,0,0,0.0,4.0,4872.2,1500,인공지능/머신러닝
panchanandevops/argocd-public,https://github.com/panchanandevops/argocd-public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,73,12,2,18.7,0.0,379.0,10.0,0,0,1,0,0.0,6.0,0.0,1500,DevOps/시스템 엔지니어
yash-s-patil/CI-CD-with-Jenkins-Ansible-Docker-Kubernetes-on-AWS,https://github.com/yash-s-patil/CI-CD-with-Jenkins-Ansible-Docker-Kubernetes-on-AWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,63,8,3,33.7,3.0,1634.0,17.0,0,0,0,1,0.0,1.0,3.0,1500,DevOps/시스템 엔지니어
ishuar/terraform-ansible-azure,https://github.com/ishuar/terraform-ansible-azure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,153,28,4,72.9,635.0,4518.0,75.0,1,1,1,1,0.09090909090909091,11.0,57.7,1500,DevOps/시스템 엔지니어
